Aircraft Name,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
1991 Gulfstream G-IV,N711WR,1171,Inquire,"8,157","4,523","IL, US","Jet Sense Aviation, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198837&listingType=true
1991 Gulfstream G-IV,N960DP,IV-1157,Inquire,"11,534","4,890","CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199016&listingType=true
1992 Gulfstream G-IV,N583AJ,IV-1184,"$ 3,000,000","13,268","5,272","CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198975&listingType=true
2024 Gulfstream G700,N/A,N/A,Inquire,N/A,N/A,GB,Freestream Aircraft Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=198333&listingType=true
2013 Gulfstream G650 ER,N650MT,6030,Inquire,"2,543",961,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198755&listingType=true
2014 Gulfstream G650 ER,N288Z,6093,"$ 29,950,000","4,477","1,514","GA, US",Gulfstream Aerospace Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198895&listingType=true
2015 Gulfstream G650 ER,N358V,6161,Inquire,"3,603","1,135","GA, US","The VanAllen Group, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199344&listingType=true
2015 Gulfstream G650 ER,N/A,6165,Inquire,"1,762",618,HK,"Asian Sky Group, Ltd.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199245&listingType=true
2017 Gulfstream G650 ER,N650EH,6230,"$ 42,250,000","1,864",659,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=195663&listingType=true
2017 Gulfstream G650 ER,N103WG,6275,Inquire,"2,400",910,"NY, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198900&listingType=true
2018 Gulfstream G650 ER,N344AP,6295,Inquire,"3,032",999,"PA, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199224&listingType=true
2014 Gulfstream G650,OE-LVJ,6062,Inquire,"5,340","1,980",CH,88K AG,https://www.aso.com/listings/spec/ViewAd.aspx?id=199332&listingType=true
2014 Gulfstream G650,N380SE,6088,Inquire,"3,600",730,"FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198898&listingType=true
2016 Gulfstream G650,N624AJ,6214,Inquire,"2,664",671,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199115&listingType=true
2017 Gulfstream G650,M-AAAL,6279,Inquire,"2,811","1,039","NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198203&listingType=true
2019 Gulfstream G600,N609JS,73009,"$ 45,995,000","2,105","1,038","MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197772&listingType=true
2020 Gulfstream G600,N920BM,73035,"$ 47,950,000",898,295,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197593&listingType=true
2020 Gulfstream G600,N1SF,73039,Inquire,429,221,"TX, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198449&listingType=true
2004 Gulfstream G550,N521GV,5021,Inquire,"4,865","2,478","NE, US",Duncan Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=196627&listingType=true
2004 Gulfstream G550,N74VW,5040,"$ 12,995,000","10,736","3,135","MT, US","Intercontinental Aircraft Group, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198040&listingType=true
2006 Gulfstream G550,N150TC,5108,Inquire,"7,792","2,354","CA, US",Donath Aircraft Services,https://www.aso.com/listings/spec/ViewAd.aspx?id=199350&listingType=true
2009 Gulfstream G550,N830GT,5237,"$ 17,950,000","6,913","1,912","MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198179&listingType=true
2010 Gulfstream G550,9H-JSL,5270,"$ 19,250,000","4,336","1,248","TN, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197480&listingType=true
2012 Gulfstream G550,N/A,5348,Inquire,"4,247","1,913","NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199148&listingType=true
2012 Gulfstream G550,N550VE,5365,Inquire,"3,585","1,788","TX, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198387&listingType=true
2013 Gulfstream G550,N399FF,5399,Inquire,"1,969",774,"OH, US",Axiom Aviation Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=197025&listingType=true
2016 Gulfstream G550,A6-YMA,5536,"$ 25,295,000","3,121","1,373","CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197970&listingType=true
2018 Gulfstream G550,VP-CYC,5564,Inquire,"1,504",603,"MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199132&listingType=true
